REGISTRO,MUESTRA,purpose,C_total_perc
SU10579,CT-1A-PAST_P1,RESTICFOR_core,3.39
SU10580,CT-1A-PAST_P2,RESTICFOR_core,1.46
SU10581,CT-1A-PAST_P3,RESTICFOR_core,3.53
SU10582,CT-1A-PAST_P4,RESTICFOR_core,3.46
SU10583,CT-1A-PAST_P5,RESTICFOR_core,3.98
SU10584,CT-1B-PAST_P1,RESTICFOR_core,3.46
SU10585,CT-1B-PAST_P2,RESTICFOR_core,1.79
SU10586,CT-1B-PAST_P3,RESTICFOR_core,3.82
SU10587,CT-1B-PAST_P4,RESTICFOR_core,2.04
SU10588,CT-1B-PAST_P5,RESTICFOR_core,4.68
SU10589,CT-2-PAST_P1,RESTICFOR_core,1.67
SU10590,CT-2-PAST_P2,RESTICFOR_core,2.1
SU10591,CT-2-PASTp3,RESTICFOR_core,1.64
SU10592,CT-2-PAST_P4,RESTICFOR_core,1.45
SU10593,CT-2-PAST_p5,RESTICFOR_core,1.98
SU10594,CT-3-PAST_P1,RESTICFOR_core,1.97
SU10595,CT-3-PAST_P2,RESTICFOR_core,1.82
SU10596,CT-3-PASt_p3,RESTICFOR_core,2.76
SU10597,CT-3-PAST_p4,RESTICFOR_core,2.57
SU10598,CT-3-PAST_p5,RESTICFOR_core,2.66
SU10599,CT-5A-LONG_P1,RESTICFOR_core,2.47
SU10600,CT-5A-LONG_p2,RESTICFOR_core,2.52
SU10601,CT-5A-LONG_p3,RESTICFOR_core,2.1
SU10602,CT-5A-LONG_p4,RESTICFOR_core,3.02
SU10603,CT-5A-LONG_p5,RESTICFOR_core,5.79
SU10604,CT-5B-LONG_p1,RESTICFOR_core,3.1
SU10605,CT-5B-LONG_p2,RESTICFOR_core,2.77
SU10606,CT-5B-LONG_P3,RESTICFOR_core,3.29
SU10607,CT-5B-LONG_p4,RESTICFOR_core,3.69
SU10608,CT-5B-LONG_p5,RESTICFOR_core,4
SU10609,CT-6-LONG_p1,RESTICFOR_core,2.56
SU10610,CT-6-LONG_p2,RESTICFOR_core,3.06
SU10611,CT-6-LONG_p3,RESTICFOR_core,1.67
SU10612,CT-6-LONG_p4,RESTICFOR_core,5.87
SU10613,CT-6-LONG_p5,RESTICFOR_core,4.84
SU10614,CT-6-PAST_p1,RESTICFOR_core,2.95
SU10615,CT-6-PAST_p2,RESTICFOR_core,4.68
SU10616,CT-6-PAST_p3,RESTICFOR_core,1.99
SU10617,CT-6-PAST_p4,RESTICFOR_core,3.17
SU10618,CT-6-PAST_p5,RESTICFOR_core,2.49
SU10619,CT-9-LONG_p1,RESTICFOR_core,7.76
SU10620,CT-9-LONG_p2,RESTICFOR_core,4.74
SU10621,CT-9-LONG_p3,RESTICFOR_core,6.17
SU10622,CT-9-LONG_p4,RESTICFOR_core,6.33
SU10623,CT-9-LONG_p5,RESTICFOR_core,9.01
SU10624,CT-17-LONG_p1,RESTICFOR_core,6.22
SU10625,CT-17-LONG_p2,RESTICFOR_core,5.14
SU10626,CT-17-LONG_P3,RESTICFOR_core,3.65
SU10627,CT-17-LONG_P4,RESTICFOR_core,5.95
SU10628,CT-17-LONG_P5,RESTICFOR_core,3.04
SU10629,SET-6A-PAST_p1,RESTICFOR_core,12
SU10630,SET-6A-PAST_p2,RESTICFOR_core,5.65
SU10631,SET-6A-PAST_P3,RESTICFOR_core,10.8
SU10632,SET-6A-PAST_p4,RESTICFOR_core,6.01
SU10633,SET-6A-PAST_P5,RESTICFOR_core,4.89
SU10634,SET-6B-PAST_P1,RESTICFOR_core,7.95
SU10635,SET-6B-PAST_P2,RESTICFOR_core,5.18
SU10636,SET-6B-PAST_P3,RESTICFOR_core,4.65
SU10637,SET-6B-PAST_P4,RESTICFOR_core,8.4
SU10638,SET-6B-PAST_P5,RESTICFOR_core,8.55
SU10639,SET-6C-PAST_P1,RESTICFOR_core,6.08
