id,F14C,err,Delta14C,err_permil,remark
SET6C_PAST_P2_0-10,1.1123,0.0031,102.1,3.1,NA
SET15_LONG_P1_10-20,1.1012,0.0031,91.1,3.1,NA
SET18_LONG_P2_0-10,1.1019,0.0032,91.9,3.2,NA
SET16_LONG_P1_0-10,1.0951,0.003,85.1,3,NA
SET16_LONG_P2_0-10,1.096,0.0031,86,3.1,NA
SET15_LONG_P3_0-10,1.0492,0.003,39.6,2.9,NA
SET18_LONG_P3_0-10,1.114,0.0031,103.8,3.1,NA
SET6B_PAST_P1_0-10,1.0839,0.003,74,3,NA
SET6A_PAST_P1_0-10,1.0693,0.0029,59.5,2.9,NA
SET6C_PAST_P1_0-10,1.0568,0.0029,47.1,2.9,NA
SET6A_PAST_P3_0-10,1.0286,0.0029,19.2,2.9,NA
SET15_LONG_P3_10-20,0.8692,0.0024,-138.8,2.4,NA
CT9_LONG_P1_0-10,1.0515,0.003,41.8,2.9,NA
SF1_PAST_P2_0-10,1.032,0.0029,22.6,2.9,NA
SET6A_PAST_P2_0-10,NA,NA,NA,NA,failed during AMS measurement
SET18_LONG_P1_0-10,1.0705,0.0031,60.7,3.1,NA
SET6C_PAST_P2_10-20,NA,NA,NA,NA,failed during AMS measurement
CT5A_LONG_P2_0-10,1.0364,0.003,26.9,2.9,NA
SET18_LONG_P3_10-20,1.0574,0.0031,47.7,3.1,NA
CT9_LONG_P2_0-10,1.0258,0.0029,16.4,2.9,NA
CT9_LONG_P3_0-10,1.054,0.003,44.3,3,NA
SET6B_PAST_P3_0-10,NA,NA,NA,NA,failed during AMS measurement
SET15_LONG_P1_0-10,NA,NA,NA,NA,failed during AMS measurement
SET18_LONG_P2_10-20,1.0226,0.0031,13.3,3.1,NA
SET6B_PAST_P1_10-20,1.0372,0.0031,27.7,3.1,NA
SET16_LONG_P3_0-10,0.9963,0.0028,-12.8,2.8,NA
SET6B_PAST_P2_0-10,1.0233,0.003,13.9,3,NA
SF1_PAST_P3_0-10,0.9934,0.003,-15.7,2.9,NA
SET6C_PAST_P1_10-20,0.9949,0.0019,-14.2,1.9,NA
SET6C_PAST_P3_0-10,1.0421,0.002,32.6,2,NA
SF1_PAST_P1_0-10,1.004,0.002,-5.2,2,NA
SET15_LONG_P2_0-10,1.0545,0.0018,44.8,1.8,NA
SF4A_LONG_P2_0-10,1.0219,0.0017,12.5,1.7,NA
SF4A_LONG_P1_0-10,1.0251,0.0017,15.7,1.7,NA
SF4A_LONG_P3_0-10,1.0341,0.0018,24.7,1.8,NA
SET6A_PAST_P3_10-20,1.0667,0.0018,57,1.8,NA
CT5B_LONG_P2_0-10,1.036,0.0021,26.5,2.1,NA
SET15_LONG_P2_10-20,1.012,0.0022,2.7,2.2,NA
CT5B_LONG_P1_0-10,0.9987,0.0021,-10.4,2.1,NA
SET16_LONG_P3_10-20,1.0097,0.0021,0.4,2.1,NA
SF1_PAST_P2_10-20,0.9651,0.002,-43.7,2,NA
SET18_LONG_P1_10-20,1.03,0.0027,20.6,2.7,NA
SET16_LONG_P2_10-20,1.0165,0.0021,7.2,2.1,NA
SET16_LONG_P1_10-20,0.9975,0.0019,-11.7,1.9,NA
CT5A_LONG_P3_0-10,1.0113,0.0021,2,2.1,NA
SET6A_PAST_P1_10-20,0.9904,0.0022,-18.7,2.2,NA
SF1_PAST_P1_10-20,0.9074,0.002,-101,2,NA
SF1_PAST_P3_10-20,0.9877,0.0022,-21.3,2.2,NA
SET6B_PAST_P3_10-20,1.0108,0.0023,1.6,2.3,NA
CT9_LONG_P2_10-20,1.0014,0.0022,-7.8,2.2,NA
SET6B_PAST_P2_10-20,0.9737,0.0023,-35.2,2.3,NA
SET6A_PAST_P2_10-20,1.0077,0.0025,-1.5,2.5,NA
SF4A_LONG_P2_10-20,0.986,0.0024,-23,2.4,NA
CT3_PAST_P3_0-10,0.9984,0.0023,-10.7,2.3,NA
CT9_LONG_P3_10-20,NA,NA,NA,NA,failed during AMS measurement
SF4A_LONG_P1_10-20,0.9594,0.0024,-49.4,2.4,NA
CT5A_LONG_P1_0-10,0.9992,0.0023,-10,2.3,NA
CT1A_PAST_P3_0-10,1.0063,0.0023,-2.9,2.3,NA
CT1A_PAST_P1_0-10,1.0057,0.0022,-3.5,2.2,NA
SF4A_LONG_P3_10-20,0.9664,0.0025,-42.4,2.5,NA
CT5B_LONG_P3_0-10,0.989,0.0037,-20,3.7,NA
CT9_LONG_P1_10-20,0.9781,0.0033,-30.9,3.3,NA
CT2_PAST_P3_0-10,0.9879,0.0033,-21.1,3.3,NA
CT5A_LONG_P2_10-20,0.9811,0.0034,-27.8,3.4,NA
CT3_PAST_P1_0-10,0.9933,0.0033,-15.8,3.3,NA
CT3_PAST_P2_10-20,0.7021,0.0025,-304.3,2.5,NA
CT2_PAST_P1_0-10,0.9673,0.0032,-41.6,3.2,NA
CT2_PAST_P2_0-10,0.9764,0.0033,-32.5,3.3,NA
CT3_PAST_P2_0-10,0.9626,0.0032,-46.2,3.2,NA
CT3_PAST_P3_10-20,0.9945,0.0034,-14.6,3.4,NA
CT5B_LONG_P1_10-20,0.9784,0.0034,-30.5,3.4,NA
SET6C_PAST_P3_10-20,0.9962,0.0034,-12.9,3.4,NA
CT5B_LONG_P3_10-20,0.9534,0.0032,-55.4,3.2,NA
CT5A_LONG_P3_10-20,0.9913,0.0033,-17.7,3.3,NA
CT1A_PAST_P3_10-20,1.0487,0.0036,39.1,3.6,NA
CT5A_LONG_P1_10-20,0.9727,0.0033,-36.2,3.3,NA
CT5B_LONG_P2_10-20,0.9408,0.0034,-67.9,3.4,NA
CT1A_PAST_P1_10-20,1.0045,0.0034,-4.7,3.4,NA
CT1A_PAST_P2_0-10,1.0008,0.0035,-8.3,3.5,NA
CT3_PAST_P1_10-20,1.003,0.0035,-6.2,3.5,NA
CT2_PAST_P2_10-20,0.9728,0.0034,-36.1,3.4,NA
CT2_PAST_P3_10-20,1.0088,0.0035,-0.5,3.5,NA
CT1A_PAST_P2_10-20,0.9892,0.0034,-19.9,3.4,NA
CT2_PAST_P1_10-20,0.9568,0.0033,-51.9,3.3,NA
SF7_PAST_P3_0-10,1.0748,0.0023,65,2.3,NA
SF6_PAST_P1_0-10,1.0514,0.0023,41.8,2.3,NA
SF7_LONG_P1_0-10,1.0627,0.0023,53,2.3,NA
SF6_PAST_P2_0-10,1.0491,0.0022,39.5,2.2,NA
SF6_PAST_P3_0-10,1.0566,0.0022,46.9,2.2,NA
SF4B_LONG_P3_0-10,NA,NA,NA,NA,failed during AMS measurement
SF7_LONG_P2_0-10,1.0617,0.0022,52,2.2,NA
SF6_PAST_P2_10-20,NA,NA,NA,NA,failed during AMS measurement
SF4B_LONG_P1_0-10,1.0769,0.0024,67,2.4,NA
SF7_PAST_P1_0-10,1.0715,0.0022,61.7,2.2,NA
SF7_LONG_P1_10-20,1.0425,0.0022,33,2.2,NA
SF7_LONG_P2_10-20,1.0408,0.0022,31.2,2.2,NA
SF7_PAST_P2_10-20,1.0434,0.0023,33.8,2.3,NA
SF4B_LONG_P2_0-10,1.0437,0.0022,34.1,2.2,NA
SF6_PAST_P1_10-20,1.0544,0.0023,44.7,2.3,NA
SF7_LONG_P3_0-10,1.0498,0.0022,40.1,2.2,NA
SF7_LONG_P3_10-20,1.0124,0.0023,3.1,2.3,NA
SF6_PAST_P3_10-20,1.0035,0.0022,-5.7,2.2,NA
SF7_PAST_P1_10-20,1.0227,0.0025,13.3,2.5,NA
SF7_PAST_P2_0-10,1.0184,0.0022,9.1,2.2,NA
SF7_PAST_P3_10-20,1.0445,0.0023,35,2.3,NA
SF4B_LONG_P1_10-20,1.0565,0.0026,46.9,2.6,NA
SF4B_LONG_P2_10-20,1.0378,0.0023,28.3,2.2,NA
SF4B_LONG_P3_10-20,0.9965,0.0022,-12.6,2.2,NA
