id,F14C,err,Delta14C,err_permil
SF4A_LONG,1.0011,0.002,-8,2
SF4B_LONG,0.9877,0.0019,-21.4,1.9
SF7_LONG,1.0505,0.002,40.9,2
SF1_PAST,0.9994,0.0019,-9.8,1.9
SF6_PAST,1.0117,0.0018,2.5,1.8
SF7_PAST,0.9723,0.0018,-36.6,1.8
SET15_LONG,0.8774,0.0017,-130.7,1.7
SET16_LONG,1.0369,0.0019,27.4,1.9
SET18_LONG,1.0785,0.0019,68.6,1.9
SET6A_PAST,1.0729,0.002,63.1,2
SET6B_PAST,1.0297,0.0021,20.3,2.1
SET6C_PAST,1.0395,0.0019,30,1.9
CT5A_LONG,1.0309,0.0019,21.4,1.9
CT5B_LONG,0.9769,0.0018,-32.1,1.8
CT9_LONG,1.0271,0.0019,17.7,1.9
CT1A_PAST,0.9685,0.0019,-40.3,1.9
CT2_PAST,0.925,0.0018,-83.5,1.8
CT3_PAST,0.9338,0.0018,-74.8,1.8
