Muestra,weight_mg,N_perc,d15N_permil_air,obs
CT-1A-PAST_P1,25.5,0.26,1.6,NA
CT-1A-PAST_P2,23.02,0.17,3.4,NA
CT-1A-PAST_P3,25.55,0.27,2.4,NA
CT-1A-PAST_P4,25.02,0.27,1.2,NA
CT-1A-PAST_P5,23.81,0.24,3.2,NA
CT-1B-PAST_P1,24.9,0.24,1.4,NA
CT-1B-PAST_P2,25.11,0.14,3,NA
CT-1B-PAST_P3,24.18,0.27,1.8,NA
CT-1B-PAST_P4,24.6,0.2,2.6,NA
CT-1B-PAST_P5,24.36,0.31,1.8,NA
CT-2-PAST_P1,23.28,0.15,2.6,NA
CT-2-PAST_P2,25.53,0.17,3.2,NA
CT-2-PAST_P3,25.06,0.19,3.6,NA
CT-2-PAST_P4,25,0.14,3.6,NA
CT-2-PAST_P5,23.72,0.16,3.4,NA
CT-3-PAST_P1,24.34,0.19,3.7,NA
CT-3-PAST_P2,24.93,0.17,2.9,NA
CT-3-PAST_P3,24.81,0.22,2.4,NA
CT-3-PAST_P4,25.39,0.25,2.7,soil particles in well
CT-3-PAST_P5,24.25,0.27,2.5,NA
CT-5A-LONG_P1,24.53,0.14,1,NA
CT-5A-LONG_P2,24.58,0.16,1,NA
CT-5A-LONG_P3,25.86,0.16,2.3,NA
CT-5A-LONG_P4,25.42,0.17,1.7,NA
CT-5A-LONG_P5,25.06,0.3,-0.1,NA
CT-5B-LONG_P1,25.41,0.18,1.6,NA
CT-5B-LONG_P2,25.16,0.14,2,NA
CT-5B-LONG_P3,25.54,0.18,1.8,NA
CT-5B-LONG_P4,24.39,0.22,0.8,NA
CT-5B-LONG_P5,24.19,0.23,0.7,NA
CT-6-LONG_P1,25.7,0.15,2.3,NA
CT-6-LONG_P2,26.16,0.16,1.2,NA
CT-6-LONG_P3,25.02,0.11,2.2,NA
CT-6-LONG_P4,25.68,0.27,0.9,NA
CT-6-LONG_P5,23.84,0.24,1.1,NA
CT-6-PAST_P1,26.15,0.26,4.2,NA
CT-6-PAST_P2,26.25,0.31,3.1,NA
CT-6-PAST_P3,25.29,0.18,4.8,NA
CT-6-PAST_P4,25.98,0.24,3,NA
CT-6-PAST_P5,24.91,0.23,2.4,NA
CT-9-LONG_P1,25.65,0.29,0.3,NA
CT-9-LONG_P2,25.69,0.23,2.1,NA
CT-9-LONG_P3,25.83,0.45,0.4,NA
CT-9-LONG_P4,23.65,0.36,2.1,NA
CT-9-LONG_P5,26.05,0.44,-0.2,NA
CT-17-LONG_P1,24.38,0.34,0.6,NA
CT-17-LONG_P2,25.38,0.32,0.9,NA
CT-17-LONG_P3,25.68,0.28,-0.4,NA
CT-17-LONG_P4,25.69,0.38,-0.4,NA
CT-17-LONG_P5,24.89,0.23,2.6,NA
SET-6A-PAST_P1,25.49,0.53,0.9,NA
SET-6A-PAST_P2,24.05,0.35,0.6,NA
SET-6A-PAST_P3,25.36,0.39,1.2,NA
SET-6A-PAST_P4,24.26,0.35,2,NA
SET-6A-PAST_P5,25.29,0.47,2.8,NA
SET-6B-PAST_P1,24.84,0.41,0.8,NA
SET-6B-PAST_P2,25.28,0.33,1.9,NA
SET-6B-PAST_P3,26.02,0.36,4.1,NA
SET-6B-PAST_P4,24.28,0.48,0.2,NA
SET-6B-PAST_P5,26.06,0.48,0.9,NA
SET-6C-PAST_P1,23.97,0.41,3.6,NA
SET-6C-PAST_P2,25.81,0.5,1.7,NA
SET-6C-PAST_P3,24.53,0.22,1.4,NA
SET-6C-PAST_P4,23.07,0.26,2,NA
SET-6C-PAST_P5,25.93,0.43,1,NA
SET-9-LONG_P1,25.24,0.31,1.3,NA
SET-9-LONG_P2,24.3,0.39,-0.4,NA
SET-9-LONG_P3,25.29,0.28,0.8,NA
SET-9-LONG_P4,23.3,0.27,4.4,soil particles in well
SET-9-LONG_P5,23.52,0.43,0.4,NA
SET-13-PAST_P1,25.02,0.43,0.3,NA
SET-13-PAST_P2,26.25,0.45,0.9,NA
SET-13-PAST_P3,25.3,0.34,1.1,NA
SET-13-PAST_P4,24.12,0.5,0.5,NA
SET-13-PAST_P5,24.94,0.64,-1.2,NA
SET-14-PAST_P1,25.03,0.59,0,NA
SET-14-PAST_P2,24.3,0.4,1.1,NA
SET-14-PAST_P3,25.88,0.51,0.4,NA
SET-14-PAST_P4,25.39,0.58,-0.1,NA
SET-14-PAST_P5,25.53,0.56,0.1,NA
SET-15-LONG_P1,25.31,0.3,1.9,NA
SET-15-LONG_P2,24.29,0.32,1.4,NA
SET-15-LONG_P3,26.07,0.26,-0.1,NA
SET-15-LONG_P4,24.08,0.32,0.5,NA
SET-15-LONG_P5,24.53,0.35,1.4,NA
SET-16B-LONG_P1,23.63,0.36,0.6,NA
SET-16B-LONG_P2,24.54,0.24,1.6,NA
SET-16B-LONG_P3,25.75,0.38,-1.6,NA
SET-16B-LONG_P4,24.11,0.31,-0.1,NA
SET-16B-LONG_P5,24.45,0.27,0.1,NA
SET-16-LONG_P1,23.35,0.39,0.4,NA
SET-16-LONG_P2,24.39,0.42,0.3,NA
SET-16-LONG_P3,25.3,0.27,2.8,NA
SET-16-LONG_P4,24.01,0.26,-0.4,NA
SET-16-LONG_P5,24.04,0.16,1.9,soil particles in well
SET-18-LONG_P1,25.69,0.26,-0.2,soil particles in well
SET-18-LONG_P2,24.21,NA,NA,sample lost during analysis
SET-18-LONG_P3,24.29,0.44,-3.3,NA
SET-18-LONG_P4,26.42,0.39,-1.9,soil particles in well
SET-18-LONG_P5,25.46,0.44,-0.8,NA
SF-1-PAST_P1,24.89,0.32,2,NA
SF-1-PAST_P2,24.72,0.52,0.5,NA
SF-1-PAST_P3,24.35,0.37,1.55,average of two measurements from two capsules in the same position with values 1.7 and 1.4
SF-1-PAST_P4,24.08,0.34,1.9,NA
SF-1-PAST_P5,24.97,0.33,2,NA
SF-4A-LONG_P1,26.22,0.24,3,NA
SF-4A-LONG_P2,25.45,0.22,3.5,NA
SF-4A-LONG_P3,25.15,0.19,3.6,NA
SF-4A-LONG_P4,24.21,0.19,3.3,NA
SF-4A-LONG_P5,24.3,0.2,3.5,NA
SF-4B-LONG_P1,24.26,0.28,2.2,NA
SF-4B-LONG_P2,25.39,0.19,3.9,NA
SF-4B-LONG_P3,25.96,0.26,3.1,NA
SF-4B-LONG_P4,25.05,0.31,2.1,NA
SF-4B-LONG_P5,25.89,0.32,2.2,NA
SF-5-LONG_P1,26.22,0.13,3.3,NA
SF-5-LONG_P2,25.39,0.2,1.5,NA
SF-5-LONG_P3,24.01,0.16,3.7,NA
SF-5-LONG_P4,25.06,0.22,0.6,NA
SF-5-LONG_P5,25.96,0.22,0.8,NA
SF-5-PAST_P1,25.02,0.28,1.4,NA
SF-5-PAST_P2,23.57,0.22,2.3,NA
