plotID,site,dominant_spp,forest_type,latitude,longitude,altitude,slope_perc,aspect,date,surveryor,plot_area_m2,rock_perc,bare_soil_perc,litter_perc,herbs_perc,moss_perc,others_perc,others_comp,sampling_radius_m,number_quarters_sampled
CT_17_LONG,CT,Quercus ilex ,LONG,41.77958,2.35102,706,25,SE,29-oct,"TEG, MCA",314.16,10,10,80,0,0,0,NA,10,4
CT_1A_PAST,CT,Quercus ilex ,PAST,41.78492,2.35701,969,5,S,23-oct,"HT, JB",314.16,5,20,75,5,0,0,NA,10,4
CT_1B_PAST,CT,Quercus ilex ,PAST,41.78426,2.35702,924,15,S,23-ene,"HT, ATB",314.16,25,5,80,0,0,0,NA,10,4
CT_2_PAST,CT,Quercus ilex ,PAST,41.7809,2.35394,777,5,E,23-oct,"HT, EM",314.16,5,5,10,0,0,0,NA,10,4
CT_3_PAST,CT,Quercus ilex ,PAST,41.78337,2.35448,880,5,S,22-oct,"HT, MDG",314.16,5,1,52,0,0,0,NA,10,4
CT_5A_LONG,CT,Quercus ilex ,LONG,41.78734,2.35428,1047,25,SW,22-oct,"HT, MDG",314.16,10,30,80,0,0,1,NA,10,4
CT_5B_LONG,CT,Quercus ilex ,LONG,41.78724,2.35635,1048,17.5,S,20-oct,"TEG, DCD",314.16,5,10,82,0,3,0,NA,10,4
CT_6_LONG,CT,Quercus ilex ,LONG,41.78656,2.35176,1034,50,SW,20-oct,"HT, MDG",314.16,50,5,40,0,15,0,NA,10,4
CT_6_PAST,CT,Quercus ilex ,PAST,41.77919,2.35687,677,15,S,29-oct,"TEG, MCA",314.16,0,20,80,0,0,0,NA,10,4
CT_9_LONG,CT,Quercus ilex ,LONG,41.79613,2.34874,1087,NA,SE,20-oct,"TEG, DCD",314.16,0,10,88,0,2,0,NA,10,4
SET_6A_PAST,SET,Pinus uncinata,PAST,42.38004,2.28847,1781,17.5,SE,14-oct,"TEG, JME",706.86,0,5,5,70,0,20,shrubs,15,4
SET_6B_PAST,SET,Pinus uncinata,PAST,42.38049,2.28656,1779,22.5,SE,04-oct,"TEG,JME",235.62,0,15,75,10,0,0,NA,10,3
SET_6C_PAST,SET,Pinus uncinata,PAST,42.38526,2.28526,1802,32.5,E,14-oct,"TEG,JME",235.62,0,10,65,25,0,0,NA,10,3
SET_9_LONG,SET,Pinus uncinata,LONG,42.40253,2.3048,1001,12.5,SW,15-oct,"TEG,HT",314.16,0,0,10,88,2,0,NA,10,4
SET_13_PAST,SET,Pinus uncinata,PAST,42.31227,2.30782,1717,15,S,16-oct,"HT,ELLA",314.16,0,10,5,80,0,5,dead wood,10,4
SET_14_PAST,SET,Pinus uncinata,PAST,42.31056,2.31176,1726,10,S,16-oct,"HT,ELLA",314.16,0,1,10,10,0,3,dead wood,10,4
SET_15_LONG,SET,Pinus uncinata,LONG,42.39264,2.31156,1789,27.5,SW,15-oct,"TGE, PFC",314.16,0,3,5,92,0,0,NA,10,4
SET_16_LONG,SET,Pinus uncinata,LONG,42.38931,2.31665,1805,25,SW,15-oct,"TGE, HT",314.16,0,3,7,90,0,15,NA,10,4
SET_16B_LONG,SET,Pinus uncinata,LONG,42.38885,2.31478,1739,30,W,15-oct,"HT, TEG, JME",314.16,0,5,5,90,0,0,NA,10,4
SET_18_LONG,SET,Pinus uncinata,LONG,42.39481,2.30714,1718,15,W,16-oct,"HT,Ella ",314.16,0,3,40,38,5,20,dead wood,10,4
SF_1_PAST,SF,Fagus sylvatica,PAST,41.76845,2.47546,1140,22.5,S,11-may,"TEG,JME",706.86,3,1,96,0,0,0,NA,15,4
SF_4A_LONG,SF,Fagus sylvatica,LONG,41.46363,2.28335,1175,7.5,W,08-oct,"HT,TEG, EM, IC",706.86,15,25,60,0,0,0,NA,15,4
SF_4B_LONG,SF,Fagus sylvatica,LONG,41.46462,2.28414,1191,11,SW,08-oct,"TEG, HT",706.86,3,5,92,0,0,0,NA,15,4
SF_5_LONG,SF,Fagus sylvatica,LONG,41.77095,2.48707,1162,17.5,NW,10-oct,"TEG,PFC",706.86,10,0,29,10,1,50,Erica sp,15,4
SF_5_PAST,SF,Fagus sylvatica,PAST,41.77173,2.48701,1170,22.5,SE,10-oct,TEG,706.86,0,0,100,0,0,0,NA,15,4
SF_6_PAST,SF,Fagus sylvatica,PAST,41.77469,2.47146,1189,2,NE,27-oct,"HT,AT",706.86,0,0,100,0,0,15,dead wood,15,4
SF_7_LONG,SF,Fagus sylvatica,LONG,41.77504,2.47746,1239,20,W,27-oct,"HT,AT",706.86,20,30,40,30,5,0,NA,15,4
SF_7_PAST,SF,Fagus sylvatica,PAST,41.46574,2.28573,1207,4,S,09-oct,"HT,PFC,SH,JB",706.86,0,5,95,0,0,0,NA,15,4
SF_8_LONG,SF,Fagus sylvatica,LONG,41.77243,2.48465,1203,25,NW,10-oct,TEG,706.86,15,40,38,2,5,0,NA,15,4
SF_9_PAST,SF,Fagus sylvatica,PAST,41.76815,2.48153,1167,15,S,05-nov,"JME,TEG",706.86,3,1,96,0,0,0,NA,15,4
