plotID,spp,status_D_A,DBH_cm_summed,DBH_1_cm,DBH_2_cm,DBH_3_cm,DBH_4_cm,DBH_5_cm,DBH_6_cm,DBH_7_cm,DBH_8_cm,observations,Distance to the centre of plot
CT_17_LONG,Quercus ilex ,A,11,11,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,9,9,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,22.9,22.9,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,12.5,12.5,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,14.4,14.4,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,23,23,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,21.5,21.5,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,23.2,23.2,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,17.6,17.6,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,22.2,22.2,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,9.6,9.6,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,15.9,15.9,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,17.1,17.1,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,9.2,9.2,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,11.9,11.9,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,9.6,9.6,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,18.9,18.9,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,15,15,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
CT_17_LONG,Quercus ilex ,A,13.9,13.9,NA,NA,NA,NA,NA,NA,NA,NA ,NA 
